name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,Jimmy Approved
"Crazy, Stupid, Love",2011,PG-13,1h 58min,Comedy; Romance; ,29 July 2011 (USA),7.4,460023,370,1
Deadpool 2,2018,R,1h 59min,Comedy; ,18 May 2018 (USA),7.7,455361,1310,1
The Hangover Part II,2011,R,1h 42min,Comedy; ,26 May 2011 (USA),6.4,453967,421,1
Hot Fuzz,2007,R,2h 1min,Comedy; ,20 April 2007 (USA),7.8,450327,811,0
Home Alone,1990,PG,1h 43min,Comedy; ,16 November 1990 (USA),7.6,448866,422,0
Parasite,2019,R,2h 12min,Comedy; ,8 November 2019 (USA),8.6,443010,2601,0
Mr. & Mrs. Smith,2005,PG-13,2h,Comedy; ,10 June 2005 (USA),6.5,439831,829,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,1h 35min,Comedy; ,29 January 1964 (USA),8.4,438092,933,1
Little Miss Sunshine,2006,R,1h 41min,Comedy; ,18 August 2006 (USA),7.8,429216,950,0
Ice Age,2002,PG,1h 21min,Comedy; ,15 March 2002 (USA),7.5,428871,491,1
Zootopia,2016,PG,1h 48min,Comedy; ,4 March 2016 (USA),8.0,417325,711,0
Horrible Bosses,2011,R,1h 38min,Comedy; ,8 July 2011 (USA),6.9,413945,439,1
Love Actually,2003,R,2h 15min,Comedy; Romance; ,14 November 2003 (USA),7.6,413896,1136,1
Charlie and the Chocolate Factory,2005,PG,1h 55min,Comedy; ,15 July 2005 (USA),6.6,413780,1436,0
Shrek 2,2004,PG,1h 33min,Comedy; ,19 May 2004 (USA),7.2,407590,542,1
Dead Poets Society,1989,PG,2h 8min,Comedy; ,9 June 1989 (USA),8.1,407018,626,1
"Three Billboards Outside Ebbing, Missouri",2017,R,1h 55min,Comedy; ,1 December 2017 (USA),8.2,404557,1169,1
Lost in Translation,2003,R,1h 42min,Comedy; ,3 October 2003 (USA),7.7,399082,1974,0
Tangled,2010,PG,1h 40min,Comedy; ,24 November 2010 (USA),7.7,393363,489,0
The Terminal,2004,PG-13,2h 8min,Comedy; Romance; ,18 June 2004 (USA),7.4,393039,702,1
We're the Millers,2013,R,1h 50min,Comedy; ,7 August 2013 (USA),7.0,392433,381,0
Back to the Future Part III,1990,PG,1h 58min,Comedy; ,25 May 1990 (USA),7.4,389841,335,1
The 40-Year-Old Virgin,2005,R,1h 56min,Comedy; Romance; ,19 August 2005 (USA),7.1,384072,587,1
In Bruges,2008,R,1h 47min,Comedy; ,29 February 2008 (USA),7.9,381466,628,1
Midnight in Paris,2011,PG-13,1h 34min,Comedy; Romance; ,10 June 2011 (USA),7.7,376680,609,1
This Is the End,2013,R,1h 47min,Comedy; ,12 June 2013 (USA),6.6,376448,760,1
Tropic Thunder,2008,R,1h 47min,Comedy; ,13 August 2008 (USA),7.0,369967,630,0
Wreck-It Ralph,2012,PG,1h 41min,Comedy; ,2 November 2012 (USA),7.7,369121,443,0
American Pie,1999,R,1h 35min,Comedy; ,9 July 1999 (USA),7.0,368148,807,1
Scott Pilgrim vs. the World,2010,PG-13,1h 52min,Comedy; ,13 August 2010 (USA),7.5,364286,663,1
Bruce Almighty,2003,PG-13,1h 41min,Comedy; ,23 May 2003 (USA),6.8,363633,640,1
Brave,2012,PG,1h 33min,Comedy; ,22 June 2012 (USA),7.1,361984,515,1
Despicable Me 2,2013,PG,1h 38min,Comedy; ,3 July 2013 (USA),7.3,361446,321,0
Aladdin,1992,G,1h 30min,Comedy; ,25 November 1992 (USA),8.0,361080,330,1
The Devil Wears Prada,2006,PG-13,1h 49min,Comedy; ,30 June 2006 (USA),6.9,359709,705,0
Monty Python's Life of Brian,1979,R,1h 34min,Comedy; ,17 August 1979 (USA),8.1,356682,392,1
Madagascar,2005,PG,1h 26min,Comedy; ,27 May 2005 (USA),6.9,355425,420,0
Cars,2006,G,1h 57min,Comedy; ,9 June 2006 (USA),7.1,355079,663,1
Easy A,2010,PG-13,1h 32min,Comedy; Romance; ,17 September 2010 (USA),7.0,348230,339,1
Dumb and Dumber,1994,PG-13,1h 47min,Comedy; ,16 December 1994 (USA),7.3,345454,473,0
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,R,1h 24min,Comedy; ,3 November 2006 (USA),7.3,345007,1247,1
Ghostbusters,1984,PG,1h 45min,Comedy; ,8 June 1984 (USA),7.8,344766,555,0
The Big Short,2015,R,2h 10min,Comedy; ,23 December 2015 (USA),7.8,344748,536,0
The Breakfast Club,1985,R,1h 37min,Comedy; ,15 February 1985 (USA),7.9,344566,871,0
Knocked Up,2007,R,2h 9min,Comedy; Romance; ,1 June 2007 (USA),6.9,343791,584,1
Knives Out,2019,PG-13,2h 10min,Comedy; ,27 November 2019 (USA),7.9,342300,2175,0
22 Jump Street,2014,R,1h 52min,Comedy; ,13 June 2014 (USA),7.0,337286,355,1
The Mask,1994,PG-13,1h 41min,Comedy; ,29 July 1994 (USA),6.9,335546,278,0
Men in Black II,2002,PG-13,1h 28min,Comedy; ,3 July 2002 (USA),6.2,335021,647,1
Green Book,2018,PG-13,2h 10min,Comedy; ,16 November 2018 (USA),8.2,332517,1453,1
