Film,Year,Script Type,Primary Genre,Genres,Distributor,Rotten Tomatoes Audience ,Rotten Tomatoes Critics,Metacritic Critics,Average Critics,Metacritic Audience,Opening Weekend ($),Opening Weekend ($million),Domestic Gross,Domestic Gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million),Budget ($million),Budget Recovered (Percentage),Budget Recovered Opening Weekend (Percentage)
Fifty Shades Darker,2017,"sequel, adaptation",nan,romance,nan,49,10,33,22,30,46607250,46.61,114434010,114.43,266.55,266547533,380981543,380.98,55,692.69,84.74
Fifty Shades Freed,2018,"adaptation, sequel",nan,drama,nan,39,12,31,22,35,38560195,38.6,100407760,100,271,270741918,371149678,3711,55,674.82,70.11
Fifty Shades of Black,2016,original screenplay,nan,Comedy,nan,19,7,28,17.5,18,5900528,5.9,11686940,11.69,9.48,9477859,21164799,21.16,5,423,118.01
Fifty Shades of Grey,2015,adaptation,nan,romance,nan,42,24,46,35,31,85171450,85.17,166167230,166.17,403.48,403484237,569651467,570,40,1424.13,212.93
Fighting with My Family,2019,based on a true story,nan,"biography, drama, sport, comedy",Metro-Goldwyn-Mayer (MGM),86,92,68,80,74,138780,0.1,22726193,22.7,0,0,22726193,22.7,11,206.6,0.91
Final Destination 5,2011,sequel,nan,"horror, thriller",nan,56,61,50,56,64,18030000,18.03,42590000,42.59,115.3,115300000,157890000,157.89,40,394.73,45.08
Finding Dory,2016,sequel,nan,Adventure,nan,86,94,77,85.5,74,135060273,135.06,486088707,486.09,539.34,539342116,1025430823,1025.43,200,513,67.53
Fired Up! ,2009,original screenplay,nan,comedy,nan,52,22,31,27,58,5500000,5.5,17200000,17.2,1.37,1370000,18600000,18.6,20,93,27.5
Firestarter,2022,nan,drama,"horror, sci-fi, thriller",Universal Pictures,47,11,32,22,27,3827715,3.8,9739250,9.7,5.3,5290994,15030244,15,12,125.25,31.9
First Man,2018,based on a true story,nan,drama,nan,66,88,84,86,75,16006065,16,44936545,45,56,55512117,100448662,1004,59,170.25,27.13
Fist Fight,2017,original screenplay,nan,comedy,nan,41,26,37,32,50,12201873,12.2,32187017,32.19,8.9,8900000,41087017,41.09,25,164.35,48.81
Five Feet Apart,2019,adaptation,nan,"drama, romance",Lionsgate,80,55,53,54,74,13190286,13.2,41471489,41.5,21,21000000,62471489,62.5,7,892.45,188.57
Flatliners,2017,remake,nan,"sci-fi, horror",nan,38,5,27,16,28,6574326,6.57,16883115,16.88,26.68,26675700,43558815,43.56,19,229.26,34.6
Flight,2012,original screenplay,nan,thriller,nan,75,78,76,77,72,24900566,24.9,93772375,93.77,68,68000000,161772375,162,31,521.85,80.32
Florence Foster Jenkins,2016,based on a true story,nan,Drama,nan,74,87,71,79,72,6601313,6.6,27383770,27.38,16.94,16939503,44323273,44.32,29,153,22.76
Focus,2015,original screenplay,nan,comedy,nan,54,57,56,57,62,18685137,18.69,53862963,53.86,104.9,104900000,158762963,159,50,317.53,37.37
Footloose,2011,remake / reboot,nan,"comedy, music, romance",nan,71,71,58,65,58,15560000,15.56,51800000,51.8,11.74,11740000,63540000,63.54,24,264.75,64.83
For Colored Girls,2010,adaptation,nan,drama,nan,73,33,50,42,66,19500000,19.5,37730000,37.73,17.32,17320000,55050000,55.05,21,262.14,92.86
Ford v. Ferrari,2019,original screenplay,nan,drama,20th Century Fox,98,91,81,86,75,31474958,31.5,83797945,83.8,76.5,76500000,160297945,160.3,97.6,164.24,32.27
Foxcatcher,2014,based on a true story,nan,drama,nan,67,88,81,85,71,270877,0.27,12096300,12.1,6.9,6900000,12096300,12,24,50.4,1.13
Frankenweenie,2012,remake / reboot,nan,"animation, comedy, family",nan,70,87,74,81,73,11412213,11.41,35291068,35.29,46.2,46200000,81491068,81,39,208.95,29.26
Freaky,2020,original screenplay,comedy,nan,Universal Pictures,80,83,67,75,64,3600355,3.6,9030855,9,9,9042578,18073433,18,6,301.22,60
Free Birds,2013,original screenplay,nan,"Adventure, Comedy, Animation, Family",nan,44,18,38,28,41,15805237,15.81,55750480,55.75,54.64,54636592,110387072,110,55,200.7,28.74
Free State of Jones,2016,original screenplay,nan,Drama,nan,66,47,53,50,64,7572206,7.57,20810036,20.81,2.34,2344199,23154235,23.15,50,46,15.14
Freeheld,2015,based on a true story,nan,drama,nan,53,46,50,48,72,37983,0,573335,1,0,1186027,573335,1,7,8.19,0.54
Friday the 13th,2009,remake / reboot,nan,horror,nan,52,25,34,30,62,40600000,40.6,65000000,65,26.4,26400000,91400000,91.4,19,481.05,213.68
Friend Request,2017,original screenplay,nan,horror,nan,30,15,31,23,38,2002863,2,3759078,3.76,0,0,3759078,3.76,9.9,37.97,20.23
Friends With Benefits,2011,original screenplay,nan,"comedy, romance",nan,68,71,63,67,66,18620000,18.62,55800000,55.8,93.74,93740000,149540000,149.54,35,427.26,53.2
Fright Night,2011,remake / reboot,nan,"comedy, horror",nan,68,75,64,70,68,7710000,7.71,18300000,18.3,22.7,22700000,41000000,41,30,136.67,25.7
From Paris with Love,2010,original screenplay,nan,"action, crime, thriller",nan,57,38,42,40,66,8200000,8.2,24080000,24.08,28.75,28750000,52830000,52.83,52,101.6,15.77
Frozen,2013,adaptation,nan,"Action, Adventure, Mystery, Thriller, Fantasy, Comedy, Romance, Animation, Family, Musical",nan,86,89,74,82,77,243390,0,400738009,401,876,875742326,1274219009,1274,150,849.48,0.16
Frozen II,2019,sequel,nan,adventure,Walt Disney Studios,92,78,65,72,69,130263358,130.3,300194495,300.2,582.1,582100000,882294495,882.3,33,2673.62,394.85
Funny People ,2009,original screenplay,nan,comedy,nan,58,68,60,64,64,22700000,22.7,51850000,51.85,19.73,19730000,71580000,71.58,75,95.44,30.27
Furious 7,2015,sequel,nan,action,nan,84,81,67,74,68,147187040,147.19,352786830,352.79,1162.04,1162040651,1514827481,1515,190,797.28,77.47
"Furry Vengeance	",2010,original screenplay,nan,"comedy, family",nan,36,8,23,16,30,6600000,6.6,17630000,17.63,18.61,18610000,36240000,36.24,35,103.54,18.86
Fury (2014),2014,original screenplayÃ,nan,"action, drama, war",nan,85,77,64,71,73,23702421,23.7,85817906,85.82,126,126000000,211817906,212,68,311.5,34.86
G-Force ,2009,original screenplay,nan,"action, adventure, comedy",nan,50,22,41,32,41,31700000,31.7,119400000,119.4,173.38,173380000,285100000,285.1,150,190.07,21.13
G.I. Joe: Retaliation,2013,sequel,nan,"Action, Adventure, Sci-Fi, Thriller",nan,49,28,41,35,53,40501814,40.5,122523060,122.52,253.22,253217645,375740705,376,130,289.03,31.16
G.I. Joe: The Rise of Cobra ,2009,adaptation,nan,"action, adventure, sci-fi",nan,62,33,32,33,53,54700000,54.7,150200000,150.2,152.26,152260000,302460000,302.1,175,172.63,31.26
Game Night,2018,original screenplay,nan,comedy,nan,79,84,66,75,72,17005332,17,69001013,69,48,48400000,117401013,1174,37,317.3,45.96
Gamer ,2009,original screenplay,nan,"action, sci-fi, thriller",nan,43,29,27,28,54,9150000,9.15,20530000,20.53,20.29,20290000,40820000,40.82,12.5,326.56,73.2
Gangster Squad,2013,based on a true story,nan,"Action, Drama, Thriller, Crime",nan,57,31,40,36,63,17070347,17.07,46000903,46,59.2,59200000,105200903,105,60,175.33,28.45
Gemini Man,2019,original screenplay,nan,action,Paramount Pictures,83,26,38,32,50,20552372,20.6,48541509,48.5,124.4,124425400,172966909,173,138,125.34,14.93
Geostorm,2017,original screenplay,nan,action,nan,41,13,21,17,37,13707376,13.71,33287280,33.29,174.4,174400000,207687280,207.69,120,173.07,11.42
Get Hard,2015,original screenplay,nan,comedy,nan,48,29,34,32,38,33803253,33.8,90411453,90.41,21.3,21300000,111711453,112,40,279.28,84.51
Get Him to the Greek,2010,sequel,nan,"comedy, music",nan,63,73,65,69,69,17600000,17.6,60970000,60.97,30.29,30290000,91260000,91.26,40,228.15,44
Get On Up,2014,based on a true story,nan,"biography, drama, music",nan,70,80,71,76,71,13585915,13.59,30703100,30.7,1.21,1208498,31911598,32,30,106.37,45.29
Get Out,2017,original screenplay,nan,horror,nan,87,99,84,92,75,33377060,33.38,175484140,175.48,78.85,78845376,254329516,254.33,4.5,5651.77,741.71
Ghost Rider,2007,adaptation,action,"action, horror",nan,48,28,35,32,38,45388836,45.39,115802596,115.8,112.94,112935797,228738393,229,110,207.94,41.26
Ghost Rider,2007,adaptation,action,"action, horror",nan,48,28,35,32,38,45388836,45.39,115802596,115.8,112.94,112935797,228738393,229,110,207.94,41.26
Ghost Rider: Spirit of Vengeance,2012,adaptation,nan,"action, fantasy, thriller",nan,32,17,32,25,45,22115334,22.12,51774002,51.77,80.79,80789928,132563930,133,57,232.57,38.8
Ghost in the Shell ,2017,adaptation,nan,"sci-fi, action",nan,52,45,52,49,69,18676033,18.68,40563557,40.56,129.24,129238364,169801921,169.8,110,154.37,16.98
Ghostbusters,2016,adaptation,nan,Comedy,nan,54,73,67,70,86,46018755,46.02,128350574,128.35,100.8,100796935,229147509,229.15,144,159,31.96
Ghosts of Girlfriends Past ,2009,adaptation,nan,"comedy, fantasy, romance",nan,47,27,34,31,49,15400000,15.4,55250000,55.25,46.97,46970000,102220000,102.22,50,204.44,30.8
Gifted,2017,original screenplay,nan,drama,nan,85,73,60,67,76,446380,0.45,24801212,24.8,17.63,17634981,42436193,42.44,7,606.23,6.38
Girls Trip,2017,original screenplay,nan,comedy,nan,80,89,71,80,56,31201920,31.2,115108515,115.11,23.5,23500000,138608515,138.61,19,729.52,164.22
Glass,2019,sequel,nan,"drama, sci-fi, thriller",Universal Pictures,73,37,42,40,68,40328920,40.3,111035005,111,135.9,135873591,246908596,246.9,20,1234.54,201.5
Gnomeo and Juliet,2011,original screenplay,nan,"animation, comedy, family",nan,52,56,53,55,59,25360000,25.36,99970000,99.97,94,94000000,193970000,193.97,36,538.81,70.44
God's Not Dead,2014,original screenplayÃ,nan,"drama, fantasy, comedy, family",nan,79,16,16,16,35,9217013,9.22,60755732,60.76,1.88,1875000,62630732,63,2,3131.54,460.85
Gods of Egypt,2016,original screenplay,nan,Adventure,nan,38,16,25,20.5,45,14123903,14.12,31153464,31.15,119.53,119527400,150680864,150.68,140,108,10.09
Godzilla (2014),2014,remake / reboot,nan,"action, adventure, sci-fi, thriller, fantasy",nan,67,74,62,68,68,93188384,93.19,200676069,200.68,328,328000000,528676069,529,160,330.42,58.24
Godzilla: King of the Monsters,2019,sequel,nan,action,Warner Bros. Pictures,83,42,48,45,73,47776293,47.8,110500138,110.5,275.4,275400000,385900138,385.9,170,227,28.12
GodÃ¢ÂÂs Not Dead 2,2016,sequel,nan,Drama,nan,63,9,22,15.5,18,7623662,7.62,20773069,20.77,0.95,945447,21718516,21.72,5,434,152.47
Going in Style ,2017,remake,nan,comedy,nan,58,48,50,49,58,11932330,11.93,45018541,45.02,39.9,39900000,84918541,84.92,25,339.67,47.73
Going the Distance,2010,original screenplay,nan,"comedy, romance",nan,56,53,51,52,55,6900000,6.9,17800000,17.8,24.25,24250000,42050000,42.05,32,131.41,21.56
Gold,2017,based on a true story,nan,adventure,nan,45,43,49,46,64,3471316,3.47,7227038,7.23,0,0,7227038,7.23,20,36.14,17.36
Gone Girl,2014,adaptation,nan,"drama, mystery, thriller",nan,88,88,79,84,81,37513109,37.51,167767189,167.77,200.29,200294722,368061911,368,61,603.38,61.5
Good Boys,2019,original screenplay,nan,comedy,Universal Pictures,86,80,60,70,61,21402605,21.4,83083070,83.1,27.8,27800000,110883070,110.9,20,554.42,107
Good Luck Chuck,2007,original screenplay,nan,romantic comedy,nan,57,3,19,11,41,13652001,13.65,35017297,35.02,24.17,24174831,59192128,59,25,236.77,54.61
Good Luck Chuck,2007,original screenplay,nan,romantic comedy,nan,57,3,19,11,41,13652001,13.65,35017297,35.02,24.17,24174831,59192128,59,25,236.77,54.61
Goosebumps,2015,adaptation,nan,"horror, comedy",nan,66,77,60,69,70,23618556,23.62,57436461,57.44,18.6,18600000,76036461,76,58,131.1,40.72
Goosebumps 2: Haunted Halloween,2018,sequel,nan,comedy,nan,45,47,53,50,43,15802225,15.8,46700633,47,46,45967417,92668050,927,35,264.77,45.15
Gotti,2018,based on a true story,nan,drama,nan,53,0,24,12,46,1719902,1.7,4286367,4,0,0,4286367,43,10,42.86,17.2
Grandma,2015,original screenplay,nan,comedy,nan,71,92,78,85,71,1501101,1.5,6741296,6.74,0.1,100000,6841296,7,0.6,1140.22,250.18
Gravity,2013,original screenplay,nan,"Sci-Fi, Drama, Mystery, Thriller",nan,80,97,96,97,78,55785112,56,274092705,274,449,449100000,716392705,716,100,716.39,55.79
Green Book,2018,based on a true story,nan,"comedy, drama",nan,94,81,70,76,76,5501520,5.5,35252256,35,0,160872,35413128,354,23,153.97,23.92
Green Lantern,2011,adaptation,nan,"action, adventure, sci-fi",nan,48,27,39,33,56,53170000,53.17,116600000,116.6,103.25,103250000,219850000,219.85,200,109.93,26.59
Green Zone,2010,adaptation,nan,"action, thriller",nan,60,53,63,58,66,14300000,14.3,35050000,35.05,59.83,59830000,94880000,94.88,100,94.88,14.3
Greenberg,2010,original screenplay,nan,"comedy, romance",nan,40,75,76,76,52,110000,0.11,4230000,4.23,1.92,1920000,6150000,6.15,25,24.6,0.44
Gretel & Hansel,2020,adaptation,fantasy,nan,United Artists Releasing,23,62,64,63,49,6154007,6.2,15347654,15.3,7,6956703,22304357,22.3,150,14.87,4.13
Grindhouse,2007,original screenplay,nan,horror,nan,87,82,77,80,80,11596613,11.6,25037897,25.04,0.38,384191,25422088,25,53,47.97,21.88
Grindhouse,2007,original screenplay,nan,horror,nan,87,82,77,80,80,11596613,11.6,25037897,25.04,0.38,384191,25422088,25,53,47.97,21.88
"Grown Ups	",2010,original screenplay,nan,comedy,nan,59,10,30,20,50,40500000,40.5,162000000,162,109.43,109430000,271430000,271.43,80,339.29,50.63
Grown Ups 2,2013,sequel,nan,Comedy,nan,54,7,19,13,31,41508572,42,133668525,134,113,113315753,246984278,247,80,308.73,51.89
Grudge Match,2013,original screenplay,nan,"Sport, Comedy",nan,47,29,35,32,65,7021993,7.02,29807260,29.81,15.1,15100000,44907260,45,40,112.27,17.55
Guardians of the Galaxy,2014,adaptation,nan,"action, adventure, sci-fi",nan,93,91,76,84,85,94320883,94.32,333176600,333.18,441,441000000,774176600,774,170,455.4,55.48
Guardians of the Galaxy Vol. 2,2017,"sequel, adaptation",nan,"action, adventure",nan,88,83,67,75,78,146510104,146.51,389813101,389.81,473.75,473752426,863565527,863.57,200,431.78,73.26
Gulliver's Travels,2010,adaptation,nan,"adventure, comedy, family",nan,31,21,33,27,44,6300000,6.3,42780000,42.78,194.6,194600000,237380000,237.38,112,211.95,5.63
Hacksaw Ridge,2016,based on a true story,nan,Drama,nan,95,87,71,79,86,15190758,15.19,64944345,64.94,78.36,78360000,143304345,143.3,40,358,37.98
"Hail, Caesar!",2016,original screenplay,nan,Comedy,nan,45,85,72,78.5,59,11355225,11.36,30080225,30.08,33.15,33149571,63229796,63.23,22,287,51.61
Hairspray,2007,adaptation,nan,musical,nan,85,92,81,87,75,27476745,27.48,118871849,118.87,83.68,83676726,202548575,203,75,270.06,36.64
Hairspray,2007,adaptation,nan,musical,nan,85,92,81,87,75,27476745,27.48,118871849,118.87,83.68,83676726,202548575,203,75,270.06,36.64
Hall Pass,2011,original screenplay,nan,"comedy, romance",nan,44,35,45,40,55,13540000,13.54,45060000,45.06,38.1,38100000,83160000,83.16,36,231,37.61
Halloween,2007,remake,nan,horror,nan,59,26,47,37,57,26362367,26.36,58272029,58.27,20.2,20197855,78469884,78,20,392.35,131.81
Halloween,2007,remake,nan,horror,nan,59,26,47,37,57,26362367,26.36,58272029,58.27,20.2,20197855,78469884,78,20,392.35,131.81
Halloween ,2018,sequel,nan,horror,nan,73,79,67,73,70,76221545,76.2,159342015,159,94,94337910,253679925,2537,10,2536.8,762.22
Halloween Ends,2022,nan,horror,holiday,Universal Pictures,57,40,47,44,46,40050355,40.1,64079860,64.1,41.3,41311907,105391767,105.4,20,526.96,200.25
Halloween II (2009),2009,sequel,nan,horror,nan,45,20,50,35,56,16300000,16.3,33390000,33.39,6.02,6020000,39410000,39.41,15,262.73,108.67
Hanna,2011,original screenplay,nan,"action, adventure, thriller",nan,67,71,65,68,70,12370000,12.37,40260000,40.26,23.52,23520000,63780000,63.78,30,212.6,41.23
Hannah Montana: The Movie ,2009,adaptation,nan,"comedy, family",nan,66,44,47,46,49,32300000,32.3,79580000,79.58,75.97,75970000,155550000,155.55,35,444.43,92.29
Hansel and Gretel: Witch Hunters,2013,adaptation,nan,"Action, Fantasy, Horro, Comedy",nan,52,15,21,18,57,19690956,19.69,55703475,55.7,170.65,170646274,226349749,226,50,452.7,39.38
Happily N'Ever After,2007,adaptation,nan,animation,nan,34,4,28,16,35,6608244,6.61,15589393,15.59,22.5,22495398,38084791,38,47,81.03,14.06
Happily N'Ever After,2007,adaptation,nan,animation,nan,34,4,28,16,35,6608244,6.61,15589393,15.59,22.5,22495398,38084791,38,47,81.03,14.06
Happy Death Day,2017,original screenplay,nan,horror,nan,66,71,57,64,66,26039025,26.04,55681005,55.68,56.7,56700000,112381005,112.38,4.8,2341.27,542.48
Happy Death Day 2U,2019,sequel,nan,"sci-fi, drama, mystery, thriller, horror, comedy",Universal Pictures,65,68,57,63,63,9497665,9.5,28051045,28.1,36.2,36200000,64251045,64.3,9,713.9,105.56
Happy Feet 2,2011,sequel,nan,"animation, comedy, family",nan,59,41,50,46,56,21240000,21.24,64010000,64.01,86.4,86400000,150410000,150.41,135,111.41,15.73
Hardcore Henry,2016,original screenplay,nan,Action,nan,55,49,51,50,80,5107604,5.11,9252038,9.25,5.08,5081752,14333790,14.33,2,717,255.38
Harriet,2019,based on a true story,nan,drama,Focus Features,97,73,66,70,62,11676720,11.7,39911835,39.9,0.2,200000,40111835,40.1,17,235.95,68.82
Harry Potter and the Deathly Hallows Part 1,2010,sequel,nan,"adventure, family, fantasy",nan,87,79,65,72,75,125000000,125,295000000,295,664.3,664300000,959300000,959.3,125,767.44,100
Harry Potter and the Deathly Hallows Part 2,2011,sequel,nan,"adventure, fantasy, mystery",nan,92,96,87,92,80,169190000,169.19,381010000,381.01,960.5,960500000,1341510000,1341.51,125,1073.21,135.35
Harry Potter and the Half-Blood Prince ,2009,sequel,nan,"adventure, family, fantasy",nan,75,83,78,81,69,77800000,77.8,302000000,302,632,632000000,934000000,934,250,373.6,31.12
Haywire,2012,original screenplay,nan,"action, thriller",nan,40,80,67,74,55,8425370,8.43,18942396,18.94,14.43,14430210,33372606,33,23,145.1,36.63
He's Just Not That Into You ,2009,adaptation,nan,"comedy, romance",nan,60,42,47,45,61,27800000,27.8,93950000,93.95,84.89,84890000,178840000,178.84,25,715.36,111.2
Hearts Beat Loud,2018,original screenplay,nan,drama,nan,73,91,65,78,73,74524,0.1,2384689,2,0,0,2384689,24,2,119.23,3.73
Heaven is for Real,2014,adaptation,nan,drama,nan,67,46,47,47,45,22522221,22.52,91443253,91.44,9.89,9889709,101332962,101,12,844.44,187.69
Hell or High Water,2016,original screenplay,nan,thriller,nan,89,98,88,93,84,3551931,3.55,26981227,26.98,4.11,4109640,31090867,31.09,12,259,29.6
Hellboy,2019,adaptation,nan,horror,Lionsgate,51,17,31,24,54,12045147,12,21903748,21.9,22.8,22760942,44664690,44.7,50,89.33,24
"Hello, My Name is Doris",2016,original screenplay,nan,Drama,nan,77,82,63,72.5,73,2376822,2.38,28751693,28.75,0.21,211196,28962889,28.96,1,2896,237.68
Her ,2013,original screenplay,nan,"Sci-Fi, Drama, Comedy, Romance",nan,82,94,90,92,85,260382,0.26,25568251,25.57,21.78,21783000,47351251,47,23,205.88,1.13
Hercules (2014),2014,adaptation,nan,"action, adventure",nan,50,60,47,54,65,29800263,29.8,72688614,72.69,170.7,170700000,243388614,243,100,243.39,29.8
Hereditary,2018,original screenplay,nan,horror,nan,60,89,87,88,75,13575172,13.6,44062718,44,35,35269917,79332635,793,10,793.33,135.75
Hitman,2007,adaptation,nan,action,nan,57,15,35,25,65,13180769,13.18,39687694,39.69,60.28,60276289,99963983,100,24,416.52,54.92
Hitman,2007,adaptation,nan,action,nan,57,15,35,25,65,13180769,13.18,39687694,39.69,60.28,60276289,99963983,100,24,416.52,54.92
Hitman: Agent 47,2015,adaptation,nan,"action, adventure",nan,47,7,28,18,37,8326530,8.33,22467450,22.47,59.79,59792987,82260437,82,35,235.03,23.79
Holmes and Watson,2018,adaptation,nan,comedy,nan,28,8,24,16,15,7411522,7.4,28410922,28,7,7100000,35510922,355,42,84.55,17.65
Home,2015,adaptation,nan,animation,nan,64,47,55,51,74,52107731,52.11,177397510,177.4,208.64,208644097,386041607,386,135,285.96,38.6
Home Again,2017,original screenplay,nan,"romance, comedy",nan,50,31,41,36,58,8567881,8.57,27020284,27.02,0,0,27020284,27.02,12,225.17,71.4
Honey Boy,2019,original screenplay,nan,drama,Amazon Studios,92,95,73,84,74,301065,0.3,3012615,3,0.4,403106,3415721,3.4,3.5,97.59,8.57
Hop,2011,original screenplay,nan,"animation, comedy, family",nan,50,26,41,34,51,37540000,37.54,108090000,108.09,75.87,75870000,183960000,183.96,63,292,59.59
Hope Springs,2012,original screenplay,nan,"comedy, romance",nan,56,74,65,70,67,14650121,14.65,63536011,63.54,50.75,50745040,114281051,114,30,380.94,48.83
Horrible Bosses,2011,original screenplay,nan,"comedy, crime",nan,72,69,57,63,71,28300000,28.3,117540000,117.54,92.1,92100000,209640000,209.64,35,598.97,80.86
Horrible Bosses 2,2014,sequel,nan,"comedy, crime",nan,50,35,40,38,62,15457418,15.46,54445357,54.45,52.2,52200000,106645357,107,42,253.92,36.8
Hostel Part II,2007,sequel,nan,horror,nan,39,45,46,46,50,8203391,8.2,17609452,17.61,18.01,18010069,35619521,36,10,356.2,82.03
Hostel Part II,2007,sequel,nan,horror,nan,39,45,46,46,50,8203391,8.2,17609452,17.61,18.01,18010069,35619521,36,10,356.2,82.03
Hostiles,2018,original screenplay,nan,drama,nan,72,71,65,68,71,10110739,10.1,29819114,30,0,0,29819114,298,45,66.26,22.47
Hot Pursuit,2015,original screenplay,nan,comedy,nan,37,8,31,20,38,13942258,13.94,34580201,34.58,16.8,16800000,51380201,51,35,146.8,39.84
Hot Tub Time Machine,2010,original screenplay,nan,"adventure, comedy, sci-fi",nan,57,64,63,64,64,14000000,14,50290000,50.29,14.28,14280000,64570000,64.57,36,179.36,38.89
Hot Tub Time Machine 2,2015,sequel,nan,comedy,nan,28,14,29,22,34,5963324,5.96,12314651,12.31,0.77,767000,13081651,13,14,93.44,42.6
Hotel Artemis,2018,original screenplay,nan,"thriller, suspense",nan,33,59,58,59,58,3232790,3.2,6708137,7,5,4516678,11224815,112,15,74.83,21.55
Hotel Transylvania,2012,original screenplay,nan,"animation, comedy, family",nan,72,45,47,46,67,42522194,42.52,148313048,148.31,210.06,210062555,358375603,358,85,421.62,50.03
Hotel Transylvania 2,2015,sequel,nan,animation,nan,71,51,44,48,74,48464322,48.46,156461403,156.46,217.6,217600000,374061403,374,80,467.58,60.58
Hotel Transylvania 3: Summer Vacation,2018,sequel,nan,adventure,nan,52,59,54,57,61,44076225,44.1,158946600,159,304,303666328,462612928,4626,80,578.27,55.1
Hotel for Dogs ,2009,adaptation,nan,"comedy, family",nan,57,46,51,49,47,17000000,17,73000000,73,43.97,43970000,118200000,118.2,35,337.71,48.57
House at the End of The Street,2012,original screenplay,nan,"horror, mystery, thriller",nan,42,10,31,21,52,12287234,12.29,31611916,31.61,7.85,7850222,39462138,39,10,394.62,122.87
How to Train Your Dragon,2010,adaptation,nan,"animation, adventure, comedy",nan,90,98,74,86,88,43700000,43.7,217580000,217.58,277.3,277300000,494880000,494.88,165,299.93,26.48
How to Train Your Dragon 2,2014,sequel,nan,"action, adventure, fantasy, comedy, animation, family",nan,90,92,76,84,84,49451322,49.45,177002924,177,441.91,441907011,618909935,619,145,426.83,34.1
How to Train Your Dragon: The Hidden World,2019,sequel,nan,"action, adventure",Universal Pictures,88,90,71,81,83,55022245,55,156700470,156.7,352,352000000,508700470,508.7,129,394.34,42.64
How to be Single,2016,adaptation,nan,"romance, comedy",nan,48,48,51,49.5,58,17878911,17.88,46843513,46.84,65.5,65500000,112343513,112.34,38,296,47.05
How to be a Latin Lover,2017,original screenplay,nan,comedy,nan,62,38,54,46,54,12252439,12.25,32149404,32.15,29.73,29731968,61881372,61.88,10,618.81,122.52
Hugo,2011,adaptation,nan,"adventure, family, mystery",nan,84,93,83,88,75,11360000,11.36,73864000,73.86,111.905,111905000,185769000,185.77,150,123.85,7.57
Hunt for the Wilderpeople,2016,adaptation,nan,Comedy,nan,91,98,81,89.5,77,78439,0.08,5205471,5.21,17.46,17460077,22665548,22.67,2.5,907,3.14
Hustlers,2019,original screenplay,nan,comedy,STX Entertainment,65,88,79,84,60,33181361,33.2,104925146,104.9,45.6,45600000,150525146,150.5,20,752.63,166
I Am Legend,2007,adaptation,nan,"sci-fi, horror",nan,68,69,65,67,71,77211321,77.21,256393010,256.39,327.76,327762415,584155425,584,150,389.44,51.47
I Am Legend,2007,adaptation,nan,"sci-fi, horror",nan,68,69,65,67,71,77211321,77.21,256393010,256.39,327.76,327762415,584155425,584,150,389.44,51.47
I Am Number Four,2011,adaptation,nan,"romance, sci-fi",nan,57,32,36,34,61,19450000,19.45,55100000,55.1,94.78,94780000,149880000,149.88,60,249.8,32.42
I Can Only Imagine,2018,based on a true story,nan,drama,nan,91,65,30,48,80,17108914,17.1,83482352,83,0,0,83482352,835,7,1192.61,244.41
I Feel Pretty,2018,original screenplay,nan,comedy,nan,34,33,47,40,34,16030218,16,48795601,49,40,39630481,88426082,884,32,276.33,50.09
I Love You Beth Cooper ,2009,adaptation,nan,"comedy, romance",nan,38,14,32,23,49,4900000,4.9,14800000,14.8,1.02,1020000,15820000,15.82,18,87.89,27.22
I Love You Phillip Morris,2010,based on a true story,nan,"comedy, romance",nan,57,71,65,68,65,110000,0.11,2040000,2.04,18.69,18690000,20730000,20.73,15,138.2,0.73
"I Love You, Man ",2009,original screenplay,nan,comedy,nan,72,83,70,77,74,17800000,17.8,71400000,71.4,20.2,20200000,91400000,91.4,40,228.5,44.5
I Now Pronounce You Chuck and Larry,2007,original screenplay,nan,comedy,nan,69,13,37,25,53,34233750,34.23,120059556,120.06,65.99,65994618,186054174,186,85,218.89,40.28
I Now Pronounce You Chuck and Larry,2007,original screenplay,nan,comedy,nan,69,13,37,25,53,34233750,34.23,120059556,120.06,65.99,65994618,186054174,186,85,218.89,40.28
I Still Believe,2020,based on a true story,drama,nan,Lionsgate,98,49,41,45,60,9103614,9.1,10410004,10.4,6.3,6293747,16703751,16.7,12,139.2,75.83
I'll See You in My Dreams,2015,original screenplay,nan,"comedy, drama",nan,70,94,75,85,69,52901,0,7449681,7,0,15084,7449681,7,5,148.99,1.06
Ice Age: Collision Course,2016,sequel,nan,Adventure,nan,40,13,34,23.5,44,21373064,21.37,64063008,64.06,343.38,343383010,407446018,407.45,105,388,20.36
Ice Age: Continental Drift,2012,sequel,nan,"animation, adventure, comedy",nan,63,37,49,43,60,46629259,46.63,161321843,161.32,715.92,715922939,877244782,877,95,923.42,49.08
Ice Age: Dawn of the Dinosaurs ,2009,sequel,nan,"animation, action, adventure",nan,72,45,50,48,70,41700000,41.7,196570000,196.57,690.11,690110000,886680000,886.68,90,985.2,46.33
Identity Thief,2013,original screenplay,nan,"Comedy, Crime",nan,54,19,35,27,49,34551025,34.55,134506920,134.51,0,39.46,173965010,174,35,497.04,98.72
If I Stay,2014,adaptation,nan,"drama, romance, music",nan,62,36,46,41,56,15679190,15.68,50474843,50.47,27.8,27800000,78274843,78,11,711.59,142.54
