State,County,City/Town,Zipcode,Area Type,2022 Population,Unemployment(%),2022 Median Income ($),Cost of Living ($),2016 Crime Rate,Air Quality Index (%),Number of National Parks,Area Covered by State Parks (%),Student to Teacher Ratio Rank,Diversity Rank (Race),Diversity Rank (Gender)
NJ,Atlantic County,Egg Harbor City,8215,41-Rural: Fringe,275638,5.41,80943.67,88433.46,0.029,83.74,0,0.0,2507,2758,2896
NJ,Cumberland County,Vineland,8361,13-City: Small,151356,5.34,67857.8,84818.79,0.043,83.74,0,0.0,2483,2422,2723
NJ,Somerset County,Bridgewater,8807,21-Suburb: Large,346875,3.21,141682.48,102535.22,0.011,83.74,0,0.0,2602,2764,2856
NJ,Hunterdon County,Clinton,8809,21-Suburb: Large,129777,3.0,146943.94,97518.62,0.006,83.74,0,0.0,2221,2739,2762
NY,Richmond County,Staten Island,10305,11-City: Large,491133,5.82,103213.48,118032.58,0.02,89.99,0,0.0,2764,2795,2934
NY,Bronx County,Bronx,10456,11-City: Large,1379946,8.45,48566.82,102815.48,0.022,89.99,0,0.0,3010,3094,3118
NY,New York County,Bronx,10463,11-City: Large,1596273,4.8,112986.8,137874.7,0.021,89.99,0,0.0,3013,3100,3110
NY,Putnam County,Mahopac,10541,21-Suburb: Large,98045,3.02,125987.45,130231.34,0.006,89.99,0,0.0,1666,1877,2052
NY,Westchester County,Hastings On Hudson,10706,21-Suburb: Large,990427,3.22,128014.41,122778.32,0.013,89.99,0,0.0,2967,3062,3069
NY,Orange County,Goshen,10924,41-Rural: Fringe,405941,3.3,99611.37,106162.89,0.018,89.99,0,0.0,2681,2682,2868
NY,Rockland County,Orangeburg,10962,21-Suburb: Large,339022,2.93,113247.62,127029.13,0.01,89.99,0,0.0,2603,2727,2826
NY,Kings County,Brooklyn,11208,11-City: Large,2590516,6.24,70138.38,115425.65,0.021,89.99,0,0.0,3026,3113,3126
NY,Queens County,Oakland Gardens,11364,11-City: Large,2278029,5.51,79063.55,124627.9,0.021,89.99,0,0.0,3019,3101,3111
NY,Nassau County,Oceanside,11572,21-Suburb: Large,1383726,2.96,139281.77,126531.71,0.011,89.99,0,0.0,2969,3092,3092
NY,Suffolk County,Huntington Station,11746,21-Suburb: Large,1525465,3.22,121846.26,125617.46,0.015,89.99,0,0.0,2986,3085,3098
NY,Fulton County,Caroga Lake,12032,42-Rural: Distant,52669,4.11,62792.46,71535.45,0.023,89.99,0,0.0,1665,1778,1313
NY,Schoharie County,Jefferson,12093,43-Rural: Remote,30063,3.74,73198.32,83482.54,0.013,89.99,0,0.0,985,1615,1709
NY,Saratoga County,Northville,12134,42-Rural: Distant,238797,2.72,105657.32,97493.63,0.012,89.99,0,0.0,2525,2782,2680
NY,Rensselaer County,Troy,12180,21-Suburb: Large,159853,3.15,89855.49,89607.8,0.023,89.99,0,0.0,2267,2428,2655
NY,Albany County,Albany,12211,21-Suburb: Large,315811,3.12,97041.22,90639.21,0.028,89.99,0,0.0,2684,2732,2854
NY,Schenectady County,Schenectady,12302,41-Rural: Fringe,160093,3.42,87621.12,87444.75,0.029,89.99,0,0.0,2471,2242,2533
NY,Greene County,Tannersville,12485,42-Rural: Distant,48061,3.66,73004.25,82413.59,0.011,89.99,0,0.0,1075,1183,1912
NY,Columbia County,Claverack,12513,41-Rural: Fringe,61286,2.81,81915.05,81667.2,0.013,89.99,0,0.0,905,1455,1656
NY,Ulster County,Highland,12528,41-Rural: Fringe,182319,3.26,85049.95,100366.26,0.014,89.99,0,0.0,2261,2020,2617
NY,Dutchess County,Red Hook,12571,41-Rural: Fringe,297545,3.16,104990.91,105669.6,0.014,89.99,0,0.0,2639,2675,2823
NY,Sullivan County,Livingston Manor,12758,42-Rural: Distant,79658,3.37,73279.44,78839.12,0.015,89.99,0,0.0,1597,994,2286
NY,Warren County,Glens Falls,12801,13-City: Small,65599,3.56,82548.6,88615.04,0.018,89.99,0,0.0,1503,1998,2066
NY,Hamilton County,Long Lake,12847,43-Rural: Remote,5118,4.47,73198.32,78074.38,0.011,89.99,0,0.0,123,321,650
NY,Essex County,Newcomb,12852,43-Rural: Remote,36910,3.71,70327.31,74782.33,0.012,89.99,0,0.0,1386,1976,1781
NY,Washington County,Putnam Station,12861,42-Rural: Distant,60841,3.34,70658.98,89181.2,0.01,89.99,0,0.0,1709,2406,2252
NY,Clinton County,Plattsburgh,12901,32-Town: Distant,78753,3.45,72953.94,74205.88,0.018,89.99,0,0.0,1907,2567,2254
NY,Franklin County,Tupper Lake,12986,41-Rural: Fringe,46373,3.71,65277.39,69541.5,0.015,89.99,0,0.0,1441,2274,2098
NY,Cayuga County,Auburn,13021,41-Rural: Fringe,74998,3.54,73835.98,73149.8,0.019,89.99,0,0.0,1820,1896,2029
NY,Madison County,De Ruyter,13052,42-Rural: Distant,67097,3.48,81244.53,78364.52,0.015,89.99,0,0.0,1949,2190,2499
NY,Oswego County,Sandy Creek,13145,42-Rural: Distant,118287,4.21,69073.56,77142.51,0.02,89.99,0,0.0,2277,2716,2531
NY,Seneca County,Seneca Falls,13148,32-Town: Distant,32882,3.32,72430.26,71229.61,0.019,89.99,0,0.0,631,543,1271
NY,Cortland County,Truxton,13158,42-Rural: Distant,46126,3.92,72074.98,72620.69,0.018,89.99,0,0.0,1122,1885,2056
NY,Onondaga County,Syracuse,13210,12-City: Mid-size,468249,3.4,83348.5,81556.12,0.024,89.99,0,0.0,2848,2884,2982
NY,Montgomery County,Canajoharie,13317,32-Town: Distant,49623,4.19,62247.22,71880.8,0.021,89.99,0,0.0,1753,1751,1734
NY,Oneida County,Taberg,13471,42-Rural: Distant,228846,3.68,73478.65,76503.14,0.023,89.99,0,0.0,2664,2881,2821
NY,Herkimer County,Van Hornesville,13475,42-Rural: Distant,59822,4.07,71906.58,73347.83,0.018,89.99,0,0.0,1925,2427,2470
NY,Lewis County,West Leyden,13489,42-Rural: Distant,26699,4.17,64184.84,73348.76,0.009,89.99,0,0.0,1374,1802,1934
NY,Jefferson County,Cape Vincent,13618,42-Rural: Distant,116637,4.18,64186.89,84814.99,0.02,89.99,0,0.0,2350,2170,2573
NY,St. Lawrence County,Ogdensburg,13669,41-Rural: Fringe,107733,4.29,64409.72,71193.28,0.016,89.99,0,0.0,2262,2753,2622
NY,Delaware County,Andes,13731,42-Rural: Distant,44740,3.8,66421.27,77203.34,0.015,89.99,0,0.0,1354,2173,2360
NY,Otsego County,Gilbertsville,13776,42-Rural: Distant,60636,3.57,71243.24,75459.32,0.013,89.99,0,0.0,1654,1856,2217
NY,Chenango County,Guilford,13780,42-Rural: Distant,46458,3.38,64342.97,68836.5,0.021,89.99,0,0.0,1676,2192,2240
NY,Broome County,Binghamton,13904,13-City: Small,197117,3.92,70619.96,80305.63,0.027,89.99,0,0.0,2444,2506,2698
NY,Genesee County,Batavia,14020,32-Town: Distant,57535,3.22,80000.02,71480.37,0.022,89.99,0,0.0,1516,1694,2391
NY,Niagara County,Burt,14028,41-Rural: Fringe,210880,3.97,76247.99,75788.08,0.029,89.99,0,0.0,2637,2571,2718
NY,Orleans County,Lyndonville,14098,42-Rural: Distant,39318,3.9,63292.53,75736.76,0.019,89.99,0,0.0,1404,1055,1944
NY,Erie County,Buffalo,14224,21-Suburb: Large,950312,3.72,80262.88,80310.56,0.027,89.99,0,0.0,2936,3053,3062
NY,Wayne County,Lyons,14489,32-Town: Distant,91125,3.3,73069.97,79905.48,0.018,89.99,0,0.0,1918,2189,2571
NY,Livingston County,Nunda,14517,42-Rural: Distant,61516,3.4,77126.96,80840.09,0.014,89.99,0,0.0,1504,2298,2038
NY,Ontario County,Shortsville,14548,41-Rural: Fringe,112707,3.15,85477.11,84462.46,0.017,89.99,0,0.0,1835,2262,2417
NY,Wyoming County,Wyoming,14591,42-Rural: Distant,39666,3.62,72881.03,71069.23,0.008,89.99,0,0.0,765,1791,1733
NY,Monroe County,Rochester,14604,21-Suburb: Large,752035,3.56,82107.06,84268.77,0.025,89.99,0,0.0,2899,2988,3018
NY,Allegany County,Bolivar,14715,42-Rural: Distant,46694,4.2,61645.5,69914.07,0.012,89.99,0,0.0,1511,2066,2358
NY,Chautauqua County,Ripley,14775,42-Rural: Distant,126027,4.02,63125.16,67463.92,0.026,89.99,0,0.0,2372,2592,2754
NY,Cattaraugus County,Salamanca,14779,32-Town: Distant,76439,4.2,62638.44,67817.68,0.017,89.99,0,0.0,1893,2305,2565
NY,Tompkins County,Brooktondale,14817,42-Rural: Distant,104777,2.85,88545.27,97221.49,0.025,89.99,0,0.0,1809,1551,2488
NY,Steuben County,Cohocton,14826,42-Rural: Distant,92599,3.76,67739.71,71096.03,0.017,89.99,0,0.0,2147,2560,2574
NY,Yates County,Dundee,14837,42-Rural: Distant,24451,3.03,75744.85,77515.77,0.013,89.99,0,0.0,211,758,992
NY,Schuyler County,Montour Falls,14865,41-Rural: Fringe,17650,3.82,72777.32,72863.64,0.006,89.99,0,0.0,459,727,915
NY,Tioga County,Spencer,14883,42-Rural: Distant,47772,3.32,79990.77,82289.13,0.01,89.99,0,0.0,1701,2188,2283
NY,Chemung County,Elmira,14901,13-City: Small,81426,3.79,71830.59,81684.38,0.025,89.99,0,0.0,2200,1951,2279
PA,Washington County,Charleroi,15022,23-Suburb: Small,210383,4.8,83720.21,71700.47,0.017,84.38,0,0.0,2672,2840,2633
PA,Beaver County,Monaca,15061,21-Suburb: Large,165677,5.66,76502.65,66716.31,0.021,84.38,0,0.0,2626,2760,2737
PA,Allegheny County,Mckeesport,15132,21-Suburb: Large,1233253,4.39,87770.01,72874.88,0.024,84.38,0,0.0,2984,3081,3084
PA,Greene County,Waynesburg,15370,32-Town: Distant,34663,5.63,72958.05,64092.6,0.017,84.38,0,0.0,1450,1993,1546
PA,Fayette County,Uniontown,15401,23-Suburb: Small,125755,6.49,64465.16,66344.51,0.024,84.38,0,0.0,2543,2605,2567
PA,Somerset County,Somerset,15501,41-Rural: Fringe,72710,5.73,63475.3,65423.16,0.012,84.38,0,0.0,2101,2671,2267
PA,Bedford County,Everett,15537,41-Rural: Fringe,47418,4.71,63651.92,65187.91,0.009,84.38,0,0.0,2007,2403,1466
PA,Armstrong County,Leechburg,15656,21-Suburb: Large,64747,5.55,66452.08,67420.75,0.008,84.38,0,0.0,1754,2230,1982
PA,Westmoreland County,New Stanton,15672,21-Suburb: Large,352057,4.77,80424.09,69113.53,0.015,84.38,0,0.0,2823,2976,2870
PA,Indiana County,Indiana,15701,41-Rural: Fringe,82957,5.64,67111.3,66402.41,0.017,84.38,0,0.0,2023,2387,2204
PA,Jefferson County,Brookville,15825,33-Town: Remote,43794,5.11,61822.12,63589.66,0.009,84.38,0,0.0,1204,1637,1510
PA,Cameron County,Emporium,15834,33-Town: Remote,4418,6.05,57366.72,64862.75,0.018,84.38,0,0.0,208,247,183
PA,Elk County,Weedville,15868,42-Rural: Distant,30477,5.14,72066.76,66904.7,0.018,84.38,0,0.0,1282,1599,1246
PA,Cambria County,Johnstown,15904,23-Suburb: Small,131441,5.68,65347.21,66388.06,0.016,84.38,0,0.0,2409,2759,2568
PA,Butler County,Butler,16001,31-Town: Fringe,197300,4.35,92905.16,74371.3,0.012,84.38,0,0.0,2522,2767,2582
PA,Lawrence County,New Castle,16101,31-Town: Fringe,84849,5.7,66164.56,63232.21,0.018,84.38,0,0.0,2344,2491,2280
PA,Mercer County,Mercer,16137,41-Rural: Fringe,109220,5.26,67790.03,63272.4,0.02,84.38,0,0.0,2420,2643,2530
PA,Forest County,Marienville,16239,43-Rural: Remote,6626,6.95,47689.91,65352.08,0.015,84.38,0,0.0,383,563,402
PA,Clarion County,Shippenville,16254,41-Rural: Fringe,37346,5.47,62458.75,63560.07,0.013,84.38,0,0.0,1698,2182,1821
PA,Venango County,Oil City,16301,33-Town: Remote,49777,5.29,63474.28,61654.51,0.014,84.38,0,0.0,1594,1939,1818
PA,Crawford County,Meadville,16335,32-Town: Distant,82670,5.03,63750.5,65005.52,0.014,84.38,0,0.0,2206,2366,2224
PA,Warren County,Warren,16365,41-Rural: Fringe,37808,4.9,64592.49,64156.55,0.018,84.38,0,0.0,1362,1716,1204
PA,Erie County,Erie,16509,41-Rural: Fringe,267689,5.21,68354.78,66996.78,0.022,84.38,0,0.0,2715,2861,2836
PA,Blair County,Altoona,16602,13-City: Small,121032,4.68,66065.98,66355.51,0.016,84.38,0,0.0,2441,2650,2540
PA,McKean County,Port Allegany,16743,43-Rural: Remote,39866,5.67,64212.57,64090.92,0.016,84.38,0,0.0,1558,2069,1805
PA,Potter County,Shinglehouse,16748,42-Rural: Distant,16220,6.24,59642.16,67070.34,0.013,84.38,0,0.0,1055,1687,1451
PA,Centre County,Bellefonte,16823,41-Rural: Fringe,158425,3.74,89726.12,82482.8,0.012,84.38,0,0.0,2313,2621,2541
PA,Clearfield County,Clearfield,16830,41-Rural: Fringe,77904,5.66,62194.86,65324.66,0.019,84.38,0,0.0,1831,2360,1950
PA,Tioga County,Liberty,16930,42-Rural: Distant,41106,5.18,62788.36,68170.79,0.011,84.38,0,0.0,1526,2007,1381
PA,Dauphin County,Hummelstown,17036,21-Suburb: Large,288800,4.16,78421.79,76842.82,0.022,84.38,0,0.0,2746,2754,2865
PA,Lebanon County,Lebanon,17042,23-Suburb: Small,144011,3.87,75450.15,75877.13,0.015,84.38,0,0.0,2545,2670,2593
PA,Mifflin County,Lewistown,17044,32-Town: Distant,45988,5.01,60027.22,67227.24,0.016,84.38,0,0.0,1026,1202,1714
PA,Perry County,Loysville,17047,42-Rural: Distant,46114,3.77,77354.91,74384.27,0.011,84.38,0,0.0,1732,1814,1613
PA,Cumberland County,Mechanicsburg,17050,41-Rural: Fringe,268579,3.54,91473.77,79226.08,0.011,84.38,0,0.0,2685,2623,2739
PA,Juniata County,Mifflintown,17059,32-Town: Distant,23339,4.49,71306.91,68711.06,0.008,84.38,0,0.0,622,721,172
PA,Huntingdon County,Mill Creek,17060,42-Rural: Distant,43281,5.97,65400.61,67325.19,0.012,84.38,0,0.0,1349,1914,1832
PA,Franklin County,Chambersburg,17202,41-Rural: Fringe,156902,3.84,77407.28,76311.84,0.016,84.38,0,0.0,2661,2622,2515
PA,Fulton County,McConnellsburg,17233,42-Rural: Distant,14533,4.31,65917.1,69600.93,0.013,84.38,0,0.0,900,1361,983
PA,Adams County,Gettysburg,17325,41-Rural: Fringe,106027,3.44,83362.88,84387.84,0.01,84.38,0,0.0,2214,2363,2291
PA,York County,York,17401,13-City: Small,461058,3.94,80899.52,79446.63,0.018,84.38,0,0.0,2880,2919,2927
PA,Lycoming County,Hughesville,17737,31-Town: Fringe,113104,4.98,68613.55,72200.68,0.018,84.38,0,0.0,2398,2514,2549
PA,Clinton County,Mill Hall,17751,41-Rural: Fringe,37931,5.65,66246.71,68684.44,0.013,84.38,0,0.0,1220,1589,1427
PA,Lancaster County,Montgomery,17752,41-Rural: Fringe,556629,3.65,80750.63,80190.68,0.015,84.38,0,0.0,2867,2922,2953
PA,Columbia County,Bloomsburg,17815,41-Rural: Fringe,64926,4.7,66716.99,73059.86,0.015,84.38,0,0.0,1960,2210,1979
PA,Montour County,Danville,17821,23-Suburb: Small,18091,3.56,79296.64,74458.64,0.014,84.38,0,0.0,401,496,565
PA,Snyder County,Middleburg,17842,41-Rural: Fringe,39652,4.47,69933.02,69192.81,0.015,84.38,0,0.0,1376,1457,826
PA,Union County,New Berlin,17855,42-Rural: Distant,42744,4.03,76810.7,71804.66,0.008,84.38,0,0.0,1190,1075,1099
PA,Northumberland County,Coal Township,17866,32-Town: Distant,90133,5.21,65194.21,66736.99,0.016,84.38,0,0.0,2355,2314,2227
PA,Schuylkill County,Mar Lin,17951,32-Town: Distant,143104,5.21,66584.53,68101.93,0.019,84.38,0,0.0,2469,2699,2438
PA,Northampton County,Easton,18040,41-Rural: Fringe,318526,4.42,86159.95,84041.19,0.016,84.38,0,0.0,2674,2712,2777
PA,Lehigh County,Schnecksville,18078,21-Suburb: Large,376317,4.57,78469.02,82341.29,0.022,84.38,0,0.0,2829,2841,2888
PA,Luzerne County,Hazleton,18202,23-Suburb: Small,326369,5.62,70272.89,69615.22,0.02,84.38,0,0.0,2780,2851,2778
PA,Monroe County,Bartonsville,18321,23-Suburb: Small,167198,6.07,79168.29,82043.0,0.021,84.38,0,0.0,2143,1391,2289
PA,Pike County,Dingmans Ferry,18328,41-Rural: Fringe,60558,5.98,82317.56,94174.81,0.011,84.38,0,0.0,1416,893,1741
PA,Wayne County,Lakewood,18439,42-Rural: Distant,51173,5.33,71990.77,72046.36,0.013,84.38,0,0.0,1061,1312,1436
PA,Lackawanna County,Scranton,18508,13-City: Small,215615,4.95,71388.02,70219.21,0.018,84.38,0,0.0,2598,2636,2717
PA,Sullivan County,Laporte,18626,42-Rural: Distant,5855,5.54,63727.91,68814.07,0.01,84.38,0,0.0,109,78,69
PA,Wyoming County,Mehoopany,18629,42-Rural: Distant,26014,5.12,72192.03,72674.01,0.014,84.38,0,0.0,924,1065,626
PA,Carbon County,White Haven,18661,42-Rural: Distant,65460,5.36,72493.92,72172.09,0.021,84.38,0,0.0,1976,2041,1822
PA,Susquehanna County,Springville,18844,42-Rural: Distant,38074,4.42,68341.44,70430.94,0.013,84.38,0,0.0,1367,1977,1806
PA,Bradford County,Towanda,18848,41-Rural: Fringe,59866,4.42,66081.39,67009.95,0.017,84.38,0,0.0,2052,2395,1922
PA,Delaware County,Broomall,19008,21-Suburb: Large,575182,4.32,99224.26,85030.12,0.022,84.38,0,0.0,2865,2969,2963
PA,Bucks County,Levittown,19054,21-Suburb: Large,645054,3.96,112165.34,91086.17,0.015,84.38,0,0.0,2882,2975,2972
PA,Philadelphia County,Philadelphia,19140,11-City: Large,1567258,5.71,56599.68,78477.67,0.042,84.38,0,0.0,3018,3098,3100
PA,Chester County,West Grove,19390,21-Suburb: Large,545823,3.31,125995.66,98654.15,0.013,84.38,0,0.0,2863,2959,2943
